中央频道,#genre#
CCTV14,http://116.117.106.74:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
CCTV15,http://116.117.105.247:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV15,http://116.117.106.42:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.32
CCTV15,http://116.117.104.39:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.3
CCTV15,http://116.117.104.242:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV15,http://116.117.105.183:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.27
CCTV15,http://116.117.106.240:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.24
CCTV15,http://116.117.106.74:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0,0.23

卫星频道,#genre#
上海卫视,http://116.117.105.247:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
上海卫视,http://116.117.106.42:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
上海卫视,http://116.117.104.39:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
上海卫视,http://116.117.104.242:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
上海卫视,http://116.117.105.183:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.27
上海卫视,http://116.117.106.240:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.24
上海卫视,http://116.117.106.74:8096/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0,0.23
东南卫视,http://116.117.105.247:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
东南卫视,http://116.117.106.42:8096/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0,0.32
