央视频道,#genre#:
CCTV13,http://111.199.232.88:18888/rtp/239.3.1.124:8128,0.95
CCTV13,http://114.254.80.240:2222/rtp/239.3.1.124:8128,0.95
CCTV13,http://114.240.43.235:8012/rtp/239.3.1.124:8128,0.95
CCTV13,http://221.217.54.246:8686/rtp/239.3.1.124:8128,0.95
CCTV13,http://123.113.237.160:8888/rtp/239.3.1.124:8128,0.94
CCTV13,http://171.116.226.246:8082/rtp/226.0.2.165:9232,0.94
CCTV13,http://60.220.167.43:8085/rtp/226.0.2.165:9232,0.94
CCTV13,http://211.90.88.212:8085/rtp/226.0.2.165:9232,0.93
CCTV13,http://183.187.89.66:8888/rtp/226.0.2.165:9232,0.92
CCTV13,http://115.171.216.91:4000/udp/225.1.1.10:8128,0.91
CCTV13,http://171.116.226.246:8084/rtp/226.0.2.165:9232,0.89
CCTV13,http://115.171.216.91:4000/udp/225.1.8.168:8130,0.83
CCTV13,http://114.254.94.146:2222/rtp/239.3.1.124:8128,0.79
CCTV13,http://175.150.152.34:9007/rtp/232.0.0.15:1234,0.77
CCTV13,http://124.230.56.126:55555/udp/239.76.253.93:9000,0.73
CCTV13,http://124.230.56.126:55555/udp/239.76.246.93:1234,0.63
CCTV14,http://111.199.232.88:18888/rtp/239.3.1.65:8132,0.95
CCTV14,http://114.240.43.235:8012/rtp/239.3.1.65:8132,0.95
CCTV14,http://221.217.54.246:8686/rtp/239.3.1.65:8132,0.95
CCTV14,http://42.237.181.199:4000/rtp/225.1.4.80:1109,0.95
CCTV14,http://171.116.226.246:8084/rtp/226.0.2.166:9240,0.95
CCTV14,http://115.171.216.91:4000/udp/225.1.8.14:8132,0.94
CCTV14,http://183.187.89.66:8888/rtp/226.0.2.166:9240,0.93
CCTV14,http://60.220.167.37:8085/rtp/226.0.2.166:9240,0.93
CCTV14,http://60.220.167.43:8085/rtp/226.0.2.166:9240,0.93
CCTV14,http://123.113.237.160:8888/rtp/239.3.1.65:8132,0.92
CCTV14,http://171.120.110.84:8085/rtp/226.0.2.166:9240,0.92
CCTV14,http://211.90.88.212:8085/rtp/226.0.2.166:9240,0.92
CCTV14,http://60.220.167.49:8082/rtp/226.0.2.166:9240,0.89
CCTV14,http://175.150.152.34:9007/rtp/232.0.0.140:1234,0.86
CCTV14,http://123.113.249.203:8888/rtp/239.3.1.65:8132,0.74
CCTV15,http://221.217.54.246:8686/rtp/239.3.1.153:8136,0.95
CCTV15,http://115.171.216.91:4000/udp/225.1.8.74:8136,0.94
CCTV15,http://175.150.152.34:9007/rtp/232.0.0.179:1234,0.86
CCTV15,http://124.230.56.126:55555/udp/239.76.245.252:1234,0.81
CCTV15,http://60.220.167.37:8085/rtp/226.0.2.32:8168,0.71
CCTV15,http://60.220.167.43:8085/rtp/226.0.2.32:8168,0.71
CCTV15,http://175.173.204.245:9001/rtp/232.0.0.179:1234,0.65
CCTV15,http://123.113.249.203:8888/rtp/239.3.1.153:8136,0.59
CCTV16,http://111.199.232.88:18888/rtp/239.3.1.184:8001,0.92
CCTV16,http://183.187.89.66:8888/rtp/226.0.2.169:9264,0.92
CCTV16,http://175.150.152.34:9007/rtp/232.0.0.182:1234,0.92
CCTV16,http://221.217.54.246:8686/rtp/239.3.1.184:8001,0.92
CCTV16,http://114.246.180.128:4022/rtp/239.3.1.184:8001,0.91
CCTV16,http://123.113.237.160:8888/rtp/239.3.1.184:8001,0.91
CCTV16,http://171.116.226.246:8082/rtp/226.0.2.169:9264,0.91
CCTV16,http://171.120.110.84:8085/rtp/226.0.2.169:9264,0.91
CCTV16,http://114.240.43.235:8012/rtp/239.3.1.184:8001,0.91
CCTV16,http://114.243.104.126:8888/rtp/239.3.1.184:8001,0.9
CCTV16,http://171.116.226.246:8084/rtp/226.0.2.169:9264,0.9
CCTV16,http://211.90.88.212:8085/rtp/226.0.2.169:9264,0.89
CCTV16,http://124.230.56.126:55555/udp/239.76.246.98:1234,0.82
CCTV17,http://114.243.156.93:8888/rtp/239.3.1.151:8144,0.95
CCTV17,http://114.240.43.235:8012/rtp/239.3.1.151:8144,0.95
CCTV17,http://114.243.104.126:8888/rtp/239.3.1.151:8144,0.95
CCTV17,http://221.217.54.246:8686/rtp/239.3.1.151:8144,0.95
CCTV17,http://60.220.167.43:8085/rtp/226.0.2.170:9272,0.95
CCTV17,http://175.150.152.34:9007/rtp/232.0.0.230:1234,0.94
CCTV17,http://211.90.88.212:8085/rtp/226.0.2.170:9272,0.94
CCTV17,http://60.220.167.37:8085/rtp/226.0.2.170:9272,0.94
CCTV17,http://124.230.56.126:55555/udp/239.76.245.238:1234,0.93
CCTV17,http://183.187.89.66:8888/rtp/226.0.2.170:9272,0.93
CCTV17,http://171.116.226.246:8084/rtp/226.0.2.170:9272,0.92
CCTV17,http://171.116.226.246:8082/rtp/226.0.2.170:9272,0.9
CCTV17,http://111.199.232.88:18888/rtp/239.3.1.151:8144,0.9
CCTV17,http://171.120.110.84:8085/rtp/226.0.2.170:9272,0.85
CCTV17,http://60.220.167.49:8082/rtp/226.0.2.170:9272,0.71
